SKU,Nombre,Precio,Existencias,Costo,Proveedor,Status,Vencimiento,CategoriaPrincipal,Subcategoria,UnidadMedida
WA-046,"Mascara Wao! Delineador, Mascara y Lapiz de ceja", 69.00,176.0, 58.00,Stay,Active,2025-12-01,Maquillaje,Mascara,12
LS824,Balsamo para Labios Magic, 17.00,24.0, 13.18,BISUTERIA,Active,2028-01-01,Maquillaje,Labios,24
CM-072,Mascara hidratante para pechos Chovemoar, 9.00,108.0, 7.03,BISUTERIA,Active,2026-08-01,Cuidado personal,Mascarilla facial,12
8658FF,"Paleta Sombra, Blush e Iluminador Anylady", 97.00,36.0, 76.86,BISUTERIA,Active,2028-04-01,Maquillaje,Sombra,12
L3455,Brillo Labial Larga duración Miss Betty, 28.00,24.0, 21.96,BISUTERIA,Active,2028-12-01,Maquillaje,Labios,24
SL-5005,Color para Labios HedyBeauty, 13.00,0.0, 10.10,BISUTERIA,Inactive,2026-01-01,Maquillaje,Labios,24
6038,Tinte agua para Labios Victorias, 24.00,36.0, 18.45,BISUTERIA,Active,2026-01-01,Maquillaje,Labios,24
809-C,Lápiz Labial Miss Demi, 14.00,0.0, 10.98,BISUTERIA,Inactive,2028-09-01,Maquillaje,Labios,72
GZ8100088,Serum Facial de Arroz 30ml, 33.00,84.0, 25.91,BISUTERIA,Active,2029-01-01,Cuidado personal,Serum facial,12
CX2186,Lápiz Labial Comfor Beauty, 20.00,144.0, 15.81,BISUTERIA,Active,2027-01-01,Maquillaje,Labios,24
5786,Lápiz Labial Mate Golden Rose, 20.00,72.0, 15.81,BISUTERIA,Active,2028-10-01,Maquillaje,Labios,24
SL-5004,Color de labios de larga duración HedyBeauty, 13.00,24.0, 10.10,BISUTERIA,Active,2025-06-01,Maquillaje,Labios,24
CX2171,Lápiz Labial Comfor Beauty, 20.00,120.0, 15.81,BISUTERIA,Active,2027-01-01,Maquillaje,Labios,24
Y978,Sombra y Delineador Romantiic, 22.00,120.0, 17.57,BISUTERIA,Active,2029-01-01,Maquillaje,Sombra,24
CX6215,Primer Fit me Comfor Beauty, 17.00,108.0, 13.18,BISUTERIA,Active,2026-01-01,Maquillaje,Primers de maquillaje,12
9219,Labios mas carnosos Chanlanya, 21.00,96.0, 16.69,BISUTERIA,Active,2029-01-01,Maquillaje,Labios,24
628F,"Paleta Sombra, Blush, Iluminador, Glitter Tutu Time", 94.00,108.0, 74.66,BISUTERIA,Active,2029-03-25,Maquillaje,Sombra,12
CX2059,Lápiz Labial 24 hrs, 20.00,192.0, 15.81,BISUTERIA,Active,2027-01-01,Maquillaje,Labios,24
E2231,Mascara Delineador Volumen Rizado, 21.00,92.0, 16.69,BISUTERIA,Active,2029-01-01,Maquillaje,Mascara,24
ES007,"Paleta Sombra, Blush y Iluminador Moly Coco", 72.00,108.0, 57.10,BISUTERIA,Active,2026-01-01,Maquillaje,Sombra,12
OTS018,"Paleta Sombra, Contorno y Blush Overture", 52.00,215.0, 41.28,BISUTERIA,Active,2027-07-01,Maquillaje,Sombra,24
LC643,Brillo Labial OLanney, 18.00,0.0, 14.05,BISUTERIA,Inactive,2028-11-01,Maquillaje,Labios,24
