SKU;Nombre;Precio;Existencias;Costo;Proveedor;Status;Vencimiento
006-000659-9;Champu Vinilady 325ml Vinilady Fuerza Maxima;NIO 65.00;7;NIO 65.00;Mayz;Active;2025-02-01
006-000661-0;Champu Vinilady 325ml Liso Intenso;NIO 67.06;3;NIO 57.00;Mayz;Inactive;
006-002852-5;Protector Solar Karite & Vitamina E Fps50 Vinilady 120g;NIO 189.00;6;NIO 248.00;Mayz;Inactive;2024-11-01
006-002985-8;Shampoo Anti Caspa Mentol For Men Vinilady 190ml;NIO 89.00;45;NIO 86.00;Mayz;Active;2025-03-01
006-003015-5;Kit Champu 330ml + Acond 310g Vinilady Forca Maxima;NIO 109.00;12;NIO 102.00;Mayz;Inactive;2025-03-01
006-003493-2;Acondicionador Vinilady Liso Intenso;NIO 99.00;76;NIO 90.00;Mayz;Active;2025-03-01
006-003830-0;Crema Peinar Vinilady Aguacate (Super Boom) 300ml;NIO 67.06;428;NIO 57.00;Mayz;Active;2026-01-01
006-003936-5;Champu Vinilady 325ml Vinilady Natural Relax;NIO 59.00;29;NIO 57.00;Mayz;Active;2025-05-01
006-003994-2;Champu Sachet Vinilady Brillo Intenso;NIO 29.00;32;NIO 32.00;Mayz;Active;2025-02-01
006-003995-0;Champu Sachet Vinilady Ondas Y Cachos;NIO 37.65;1;NIO 32.00;Mayz;Inactive;2025-01-01
006-004049-5;Champú Vinilady 325ml Vinilady Negro Absoluto;NIO 67.06;2;NIO 67.06;Mayz;Active;2026-01-01
006-004092-4;Crema Peinar Vinilady Reparación Total 290;NIO 67.06;365;NIO 57.00;Mayz;Active;2025-10-01
006-01086;Shampoo Olive`n Body 400ml;NIO 75.00;12;NIO 59.00;Mayz;Inactive;2025-08-01
006-102884-7;Champu Vinilady 325ml Ondas;NIO 67.06;3;NIO 57.00;Mayz;Inactive;
006-128713;Espuma P/Afeitar Majix 200ml Cool;NIO 49.41;473;NIO 42.00;Mayz;Inactive;2026-12-01
006-132574;Espuma P/Afeitar Janti 200ml regular;NIO 40.00;212;NIO 34.00;Mayz;Active;2026-11-01
006-132581;Espuma para Afeitar Janti 200ml Sensitive;NIO 40.00;177;NIO 34.00;Mayz;Active;2026-11-01
006-485514;Crema corporal Miya 12oz Avena;NIO 45.00;223;NIO 42.00;Mayz;Active;2025-04-30
006-485515;Crema corporal Aloe Miya 12 Oz;NIO 45.00;278;NIO 42.00;Mayz;Active;2025-04-01
006-485516;Crema Miya Corporal Cocoa 12oz;NIO 45.00;645;NIO 42.00;Mayz;Active;2025-04-01
006-alcoholGel;Alcohol Gel para Niñ@s;NIO 18.00;2801;NIO 18.00;VB;Active;
006-C04;Shampoo Miya para Niños 12oz 2 En 1;NIO 45.00;5375;NIO 42.00;Mayz;Active;2025-03-01
006-FM08890;Crema para Pies Fasmc 100ml;NIO 39.00;313;NIO 37.00;Mayz;Inactive;2024-09-01
006-M1647;Mascarilla Hidroplastica Facial de Olivo Skin White 120g;NIO 49.00;756;NIO 44.00;Mayz;Active;2025-12-01
006-M1648;Mascarilla Hidroplastica Facial Tea Tree 120g;NIO 49.00;561;NIO 44.00;Mayz;Active;2025-12-01
006-SP404A;Crema Miya Corporal 15ozs Aloe Vera;NIO 45.00;2271;NIO 42.00;Mayz;Active;2025-04-28
006-SP404B;Crema Miya Corporal 15ozs Vitamina E;NIO 45.00;2313;NIO 42.00;Mayz;Active;2025-04-01
006-WKL176;Gel Para Ducha 550ml Bamboo Wokali;NIO 70.00;116;NIO 63.00;Mayz;Active;2024-10-01
006-WKL258;Gel Para Ducha 550ml Lanolin Wokali;NIO 70.00;33;NIO 63.00;Mayz;Active;2025-03-01
006-WKL52931;Crema Blanqueadora Wokali 100ml;NIO 75.00;17;NIO 69.00;Mayz;Active;2024-09-01
006-X2096;Removedor Corporal de Manchas Naranja XQM 100ml;NIO 39.00;682;NIO 42.00;Mayz;Active;2025-12-01
006-X2097;Removedor Corporal Manchas Coconut XQM 100ml;NIO 39.00;707;NIO 42.00;Mayz;Active;2025-12-01
