ITEM_ID,SKU (Código de artículo),Nombre,Existencias a mano,Tarifa de compra,Tasa,Fecha de vencimiento,Fabricante
5467547000000333152,LC1147,Aceite Labial + Tinte Para Labios,432,NIO22.00,NIO25.88,01 jun 2028,VB
5467547000000330436,LC1182,Aceite Labial + Tinte Para Labios,353,NIO18.00,NIO21.18,01 jun 2028,VB
5467547000000319184,LC1161,Aceite Labial Magic LC1161,"2,640",NIO11.00,NIO12.94,01 jun 2028,VB
5467547000000319281,LC1164,Aceite Labial Magic LC1164,"1,144",NIO11.00,NIO12.94,01 jul 2028,VB
5467547000000319378,LC1197,Aceite Labial Magic LC1197,624,NIO11.00,NIO12.94,01 jul 2028,VB
5467547000000319475,LC1201,Aceite Labial Magic LC1201,"1,360",NIO11.00,NIO12.94,01 jun 2028,VB
5467547000000319863,LC1204,Aceite Labial Magic LC1204,424,NIO11.00,NIO12.94,01 jun 2028,VB
5467547000000319669,LC1218,Aceite Labial Magic LC1218,192,NIO11.00,NIO12.94,01 jul 2028,VB
5467547000000319766,LC1220,Aceite Labial Magic LC1220,336,NIO11.00,NIO12.94,01 jul 2028,VB
5467547000000313655,006-003493-2,Acondicionador Vinilady Liso Intenso,76,NIO90.00,NIO99.00,01 mar 2025,Mayz
5467547000000325780,WA-223,Afeitadora 3 Hojillas morada,371,NIO32.00,NIO37.65,01 ene 2029,Stay
5467547000000345956,S40-1150,Agua Micelar Desmaquillante Stay,44,NIO62.00,NIO73.00,01 mar 2026,Stay
5467547000000295223,006-alcoholGel,Alcohol Gel para Niñ@s,"2,729",NIO18.00,NIO18.00,,VB
5467547000000324325,SD31943,Ampolla Facial 24K Gold 7pcs x 2ml,113,NIO28.00,NIO32.94,01 nov 2025,VB
5467547000000324422,SD30878,Ampolla Facial con Acido Hialuronico 7pcs x 2ml,27,NIO28.00,NIO32.94,01 jul 2026,VB
5467547000000324228,SD31936,Ampolla Facial con Vitamina C 7pcs x 2ml,141,NIO28.00,NIO32.94,01 ago 2025,VB
5467547000000294544,2929-03,Bálsamo Labial Aloe Kiss Beauty,36,NIO8.80,NIO10.35,01 dic 2028,VB
5467547000000309773,G3134,Balsamo Labial Arándano Orof,292,NIO10.00,NIO11.76,01 ago 2028,VB
5467547000000334801,2950-47ABCDEF,Bálsamo Labial de Karité,528,NIO10.00,NIO11.76,01 mar 2028,VB
5467547000000309967,G3136,Balsamo Labial Fresas 24h Orof,418,NIO10.00,NIO11.76,01 ago 2028,VB
5467547000000309676,G3135,Balsamo Labial Limon Orof,605,NIO10.00,NIO11.76,01 ago 2028,VB
5467547000000309870,G3137,Balsamo Labial Sandia 24h Orof,559,NIO10.00,NIO11.76,01 ago 2028,VB
5467547000000327041,123,Bálsamo Para Labios Cute Fruit,960,NIO11.00,NIO12.94,01 mar 2026,VB
5467547000000544001,LC911,Bálsamo Para Labios Magic corazón doble,216,NIO11.00,NIO13.00,01 nov 2027,VB
5467547000000319572,LC1230,Balsamo Para Labios Magic LC1230,"1,500",NIO11.00,NIO12.94,01 jul 2028,VB
5467547000000320542,LS112,Balsamo Para Labios Magic paleta espiral,840,NIO11.00,NIO12.94,01 may 2028,VB
5467547000000320930,LS116,Balsamo Para Labios Magic refresco,"2,184",NIO12.00,NIO14.12,01 jul 2028,VB
5467547000000320833,LS115,Balsamo Para Labios Magic Taza gatito,744,NIO12.00,NIO14.12,01 jul 2028,VB
5467547000000295902,LC1305,Balsamo para Labios Osito Magic,24,NIO12.00,NIO14.12,01 dic 2028,VB
5467547000000326168,F001,Base All Hours YvestSaintLaurent,"1,240",NIO35.00,NIO41.18,01 ene 2026,VB
5467547000000335771,161-0462,Base Alta Cobertura Reducción De Poros,528,NIO18.00,NIO21.18,01 ago 2026,VB
5467547000000324907,ST3343,Base Anthaway Multiefecto,552,NIO11.00,NIO12.94,01 mar 2027,VB
5467547000000312974,2075,Base Beauty City BB cream,131,NIO52.00,NIO61.18,01 oct 2027,VB
5467547000000347120,S16-002,Base con Vitamina E y SPF 30+,144,NIO39.00,NIO43.82,01 may 2026,Stay
5467547000000327332,H64026 C,Base Huda Beauty Fauxlens,648,NIO38.00,NIO44.71,01 abr 2028,VB
5467547000000318505,H64070 C,Base Huda Beauty Matte FPS 50+ todo tipo de pieles,996,NIO42.00,NIO49.41,01 abr 2028,VB
5467547000000310064,ST3361,"Base Liquida 36h 3 in 1 Base, Primer y Corrector Anthaway",456,NIO11.00,NIO12.94,01 dic 2027,VB
5467547000000310258,ST3350,Base Liquida 36h Hidratante Anthaway,600,NIO11.00,NIO12.94,01 dic 2027,VB
5467547000000310161,ST3352,Base Liquida 36h Vitamina C Fit me! Anthaway,480,NIO11.00,NIO12.94,01 dic 2027,VB
5467547000000501170,457,Base Liquida Acabado Radiante Y Humectante Top Face,216,NIO11.00,NIO12.94,01 ago 2027,VB
5467547000000311422,N220,Base Liquida Detoxificar Y Proteger Note,528,NIO11.00,NIO12.94,01 jun 2027,VB
5467547000000311519,455,Base Liquida Skinwera Efecto Mate Larga Duracion Top Face,480,NIO11.00,NIO12.94,01 ene 2026,VB
5467547000000333734,ST3342,Base Liviana Natural Mate ANTAWAY,432,NIO11.00,NIO12.94,03 mar 2027,VB
5467547000000317923,F004,Base Lorea SPF50+ Antioxidante,"3,341",NIO16.00,NIO20.00,01 ene 2026,VB
5467547000000328011,F002,Base Loreal Paris Revital Fit,861,NIO30.00,NIO35.29,01 ene 2026,VB
5467547000000318020,F003,Base Maybelline SPF50+ Alta cobertura,"2,934",NIO16.00,NIO25.00,01 ene 2026,VB
5467547000000320736,M0010,Base Million Pauline Esencia de caracol SPF 25+,168,NIO38.00,NIO44.71,01 sep 2025,VB
5467547000000325004,ST3362,Base para maquillaje Super Stay,432,NIO11.00,NIO12.94,01 dic 2027,VB
5467547000000326944,ST3351,Base Pro BB Cream Anthaway,288,NIO11.00,NIO12.94,01 dic 2027,VB
5467547000000326265,M0281,Base Velvet Touch SPF+ 10 Million Pauline,348,NIO35.00,NIO41.18,01 oct 2026,VB
5467547000000293962,953,Blush 4 colores Anylady,160,NIO35.00,NIO41.20,01 abr 2027,VB
5467547000000295805,B0021-LA,Body Spray 250ml Pink and Sweet B0021-LA,77,NIO64.00,NIO75.29,01 ene 2029,VB
5467547000000295126,B0021-GE,Body Spray Pink In Sweet 250ml,10,NIO71.40,NIO75.29,01 feb 2029,VB
5467547000000336547,Y-801,Brillo Labial,165,NIO12.00,NIO14.12,01 ene 2026,VB
5467547000000296193,LC05,Brillo Labial 99% Aloe Magic,237,NIO12.00,NIO14.12,01 nov 2028,VB
5467547000000307348,HL5570,Brillo Labial Hold Morning Cute Candy,528,NIO11.00,NIO12.94,01 oct 2027,VB
5467547000000307251,HB5224,Brillo Labial Hold Morning Cute Hello Lovely,240,NIO11.00,NIO12.94,01 ago 2027,VB
5467547000000307542,HL5559,Brillo Labial Hold Morning HL5569,528,NIO11.00,NIO12.94,01 oct 2027,VB
5467547000000291046,Y-2599,Brillo Labial Huda Matte Me,30,NIO14.05,NIO18.00,01 ene 2027,BISUTERIA
5467547000000286390,L3455,Brillo Labial Larga duración Miss Betty,24,NIO21.96,NIO28.00,01 dic 2028,BISUTERIA
5467547000000308997,LC1157,Brillo Labial Mariposita Magic,696,NIO11.00,NIO12.94,01 may 2028,VB
5467547000000290949,L3518,Brillo Labial Miss Betty,72,NIO15.37,NIO20.00,01 ene 2029,BISUTERIA
5467547000000288039,LC643,Brillo Labial OLanney,72,NIO14.05,NIO18.00,01 nov 2028,BISUTERIA
5467547000000334219,LC607,Brillo para Labios,"1,556",NIO13.00,NIO15.29,01 jul 2028,VB
5467547000000333637,LC991,Brillo Para Labios 24h,167,NIO11.00,NIO12.94,01 jun 2028,VB
5467547000000325392,ST3828,Brillo Para Labios Anthaway azul,"1,668",NIO8.00,NIO9.41,01 may 2028,VB
5467547000000325489,ST3827,Brillo Para Labios Anthaway rosada,"1,692",NIO8.00,NIO9.41,01 may 2028,VB
5467547000000307639,HL5566,Brillo para Labios Hold Morning HL5566,12,NIO11.00,NIO12.94,01 oct 2027,VB
5467547000000320251,LC929,Brillo para Labios Magic corazón love,24,NIO11.00,NIO12.94,01 abr 2028,VB
5467547000000297066,LC1253,Brillo Para Labios Magic Dear Darling,"1,608",NIO11.00,NIO12.94,22 mar 2025,VB
5467547000000319960,LC1207,Brillo Para Labios Mate Magic Be sweet,216,NIO11.00,NIO12.94,01 jul 2028,VB
5467547000000320057,LC1227,Brillo Para Labios Mate Magic color perfecto,216,NIO11.00,NIO12.94,01 oct 2028,VB
5467547000000347023,S2-0618,Brocha De Barbero,520,NIO46.00,NIO54.12,01 ene 2029,Stay
5467547000000335092,1808W,Brocha Individual Shadow Brush,666,NIO12.00,NIO14.12,01 ene 2029,VB
5467547000000312780,S29-001,Brocha Para Maquillaje Set 7 Pzas Stay,132,NIO50.00,NIO58.82,01 ene 2029,Stay
5467547000000329757,SZ-256,Brocha para maquillar 5 Pzas,247,NIO25.00,NIO29.41,01 ene 2029,VB
5467547000000331891,SZ-997,Brochas para maquillar 7 Pcs,424,NIO80.00,NIO94.12,01 ene 2029,VB
5467547000000323355,S2-0737,Cepillo peinilla para Cabello Stay,233,NIO22.00,NIO25.88,01 ene 2029,Stay
5467547000000292408,HS1023,Cera laminada para cejas Mecow,693,NIO12.80,NIO15.50,01 nov 2027,VB
5467547000000338099,006-003994-2,Champu Sachet Vinilady Brillo Intenso,32,NIO32.00,NIO29.00,01 feb 2025,Mayz
5467547000000339554,006-000659-9,Champu Vinilady 325ml Vinilady Fuerza Maxima,7,NIO65.00,NIO65.00,01 feb 2025,Mayz
5467547000000339360,006-003936-5,Champu Vinilady 325ml Vinilady Natural Relax,29,NIO57.00,NIO59.00,01 may 2025,Mayz
5467547000000332570,GJ7028,Contorno De Ojos 20ml,168,NIO40.00,NIO47.06,01 mar 2028,VB
5467547000000328690,DS51994,Contorno De Ojos 25ml,360,NIO35.00,NIO41.18,01 jun 2028,VB
5467547000000312198,AC3141,Contorno De Ojos Hidratante Y Aclarante De Arroz Aichun Beauty 25ml,120,NIO28.00,NIO32.94,01 dic 2027,VB
5467547000000332182,GJ7186,Contorno De Ojos Retinol 30g,128,NIO45.00,NIO52.94,01 may 2028,VB
5467547000000289979,OTX056,Corrector 6 colores Overture,216,NIO32.94,NIO42.00,01 oct 2027,BISUTERIA
5467547000000289882,GZ8060165,Corrector 6 tonos Mlundo,120,NIO21.08,NIO27.00,01 oct 2028,BISUTERIA
5467547000000336450,ST3804,Corrector Alta Cobertura,504,NIO13.00,NIO15.29,01 may 2028,VB
5467547000000325101,ST3373,Corrector Anthaway 36 horas,"2,015",NIO10.00,NIO11.76,01 mar 2028,VB
5467547000000324713,ST3312,Corrector Anthaway Alta definición,"1,248",NIO10.00,NIO11.76,01 may 2028,VB
5467547000000324810,ST3315,Corrector Anthaway Babe Skin,"2,040",NIO11.00,NIO12.94,01 may 2028,VB
5467547000000336353,M2602,Corrector Antiojeras 24h,720,NIO13.00,NIO15.29,01 ene 2026,VB
5467547000000346926,S6-1364,Corrector de color Stay,192,NIO51.00,NIO57.30,01 mar 2027,Stay
5467547000000307154,HCC331,Corrector Huda Beauty Borrador instantáneo multi-uso,"1,152",NIO28.00,NIO32.94,01 jul 2028,VB
5467547000000336062,PK145,Corrector Liquido Pink Key,432,NIO20.00,NIO23.53,01 sep 2027,VB
5467547000000317535,CL822,Corrector Liquido Scanlon CL822,384,NIO14.00,NIO16.47,01 ene 2027,VB
5467547000000333540,ST3366,Corrector Mate,912,NIO11.00,NIO12.94,01 jul 2028,VB
5467547000000316371,8842E,Corrector Mate Ever Beauty 8842E,179,NIO18.00,NIO21.18,01 jul 2028,VB
5467547000000316565,8843E,Corrector Mate Ever Beauty 8843E,696,NIO18.00,NIO21.18,01 jul 2028,VB
5467547000000316468,8844E,Corrector Mate Ever Beauty 8844E,467,NIO18.00,NIO21.18,01 jun 2028,VB
5467547000000333443,ST3313,Corrector Natural Anthaway,748,NIO11.00,NIO12.94,01 nov 2025,VB
5467547000000289785,DR-E018,Corrector Piel Impecable 24hrs Dawang Rose,120,NIO28.55,NIO36.00,01 ene 2026,BISUTERIA
5467547000000311616,CL814,Corrector Scanlon Alta Cobertura,336,NIO13.00,NIO15.29,01 ene 2026,VB
5467547000000330339,68603-47,Corrector Super BB,384,NIO18.00,NIO21.18,01 may 2028,VB
5467547000000617003,ST3311,Corrector Vitality Anthaway,360,NIO13.00,NIO13.00,13 may 2028,VB
